barcode	name	batch	condition	strain int	Glucose.Avg.g.L.	Xylose.Avg.g.L.	Pyruvate.Avg.g.L.	Xylitol.Avg.g.L.	Succinate.Avg.g.L.	Lactate.Avg.g.L.	Glycerol.Avg.g.L.	Formate.Avg.g.L.	Acetate.Avg.g.L.	Ethanol.Avg.g.L.	Cellobiose.Avg.g.L.	Glucose_consumed	Percent_glucose_consumed	Percent_yield	Blank_glucose
I0035396	20200106-t-1	20200106	t	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0035183	20200106-f-1	20200106	f	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0037339	20200106-t-2	20200106	t	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0035539	20200106-f-2	20200106	f	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0037498	20200106-t-3	20200106	t	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0036975	20200106-f-3	20200106	f	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0037122	20200106-t-4	20200106	t	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0035173	20200106-f-4	20200106	f	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0037249	20200106-t-5	20200106	t	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0035766	20200106-f-5	20200106	f	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0040926	20200106-t-6	20200106	t	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0040583	20200106-f-6	20200106	f	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0035664	20200106-t-7	20200106	t	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0035728	20200106-f-7	20200106	f	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0037499	20200106-t-8	20200106	t	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0035665	20200106-f-8	20200106	f	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0035404	20200106-t-9	20200106	t	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0035802	20200106-f-9	20200106	f	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0040608	20200106-t-10	20200106	t	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0040051	20200106-f-10	20200106	f	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0040540	20200106-t-11	20200106	t	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0040613	20200106-f-11	20200106	f	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0040536	20200106-t-12	20200106	t	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0040620	20200106-f-12	20200106	f	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0037497	20200106-t-13	20200106	t	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0035216	20200106-f-13	20200106	f	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0040870	20200106-t-14	20200106	t	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0040686	20200106-f-14	20200106	f	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0040867	20200106-t-15	20200106	t	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0040919	20200106-f-15	20200106	f	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0040978	20200106-t-16	20200106	t	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0040990	20200106-f-16	20200106	f	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0040738	20200106-t-17	20200106	t	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0041147	20200106-f-17	20200106	f	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0040659	20200106-t-18	20200106	t	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0040658	20200106-f-18	20200106	f	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0040886	20200106-t-19	20200106	t	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0040654	20200106-f-19	20200106	f	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
