End Products
Sample,Barcode,"",Glucose Avg(g/L),Xylose Avg(g/L),Pyruvate Avg(g/L),Xylitol Avg(g/L),Succinate Avg(g/L),Lactate Avg(g/L),Glycerol Avg(g/L),Formate Avg(g/L),Acetate Avg(g/L),Ethanol Avg(g/L),Cellobiose Avg(g/L)
20200225-t-258,I0047526,"",21.5037642816,0.2797357277,0.0,0.0,0.0,0.1303655776,0.3227966307,0.7232109319,0.0,0.0693924768,0.0
20200225-f-258,I0047477,"",22.3629617344,0.3034847924,0.0,0.0,0.0,0.1274469856,0.297027086,0.7197549995,0.0,0.0498887423,0.0
20200225-t-259,I0047917,"",21.5287092352,0.0,0.0,0.0,0.0,0.132286984,0.2939282575,0.72202658,0.0,0.0454042885,0.0
20200225-f-259,I0047857,"",21.1796059968,0.0,0.0,0.0,0.0,0.1342633392,0.2942874085,0.7218714589,0.0,0.0455581623,0.0
20200225-t-260,I0047664,"",0.0,0.2057576689,0.0,0.0,0.0,0.1273343856,0.2921693385,0.7204781308,1.495983067,0.6557889434,0.0
20200225-f-260,I0047695,"",0.1116415488,0.2112809516,0.0,0.0,0.0,0.1300178688,0.2941207256,0.7201770946,0.11080137996,0.053385916,0.0
20200225-t-261,I0047519,"",16.7938828384000018016,0.2693227109,0.0,0.0,0.0,0.1277550592,0.3274748027,0.7194378528,0.0,0.0454176488,0.0
20200225-f-261,I0047538,"",17.0937645632000018016,0.2493824443,0.0,0.0,0.0,0.1274055488,0.3250712537,0.7202060935,0.0,0.0462856076,0.0
20200225-t-262,I0047780,"",11.6396277472,0.0,0.0,0.0,0.0,0.1273316832,0.3992644831,0.7192910171,0.0,0.045982006299999995393,0.0
20200225-f-262,I0047665,"",20.268873776,0.0,0.0,0.0,0.0,0.127341592,0.3032376356,0.7190083929,0.0,0.0446998782,0.0
20200225-t-263,I0047596,"",14.1438985888,0.3056661813,0.0,0.0,0.0,0.1300358848,0.2955324653,0.7235911397,0.14093153316,0.0459566678,0.0
20200225-f-263,I0047534,"",11.4463989408,0.2825551691,0.0,0.0,0.0,0.128102768,0.2925505911,0.7192569549,0.0,0.044491181100000004607,0.0
20200225-t-264,I0047888,"",16.1939049984,0.0,0.0,0.0,0.0,0.1284531792,0.4741354949,0.7273333787,0.390738431,0.40824147309999995393,0.0
20200225-f-264,I0047783,"",18.1714564608,0.2615504808,0.0,0.0,0.0,0.1277541584,0.4572351381,0.720010466,0.44588788876,0.0503849162,0.0
20200225-t-265,I0047678,"",15.4968893792,0.0,0.0,0.0,0.0,0.1273424928,0.2980548104,0.7207460254,0.0803854538,0.0521807248,0.0
20200225-f-265,I0047771,"",9.5361048096,0.0,0.0,0.0,0.0,0.127467704,0.2925542747,0.7192072425,0.0,0.0480560777,0.0
20200225-t-266,I0047794,"",2.1863208704,0.1985784523,0.0,0.0,0.0,0.1410643792,0.64119135940000009209,0.7243110489,0.6914081922,4.2003838765,0.0
20200225-f-266,I0047748,"",9.4388094016,0.0,0.0,0.0,0.0,0.1314825696,0.3937685519,0.718914952,1.20682275272,0.0472102325,0.0
20200225-t-267,I0047797,"",10.548944512,0.0,0.0,0.0,0.0,0.1273884336,0.2935810782,0.7196657013,0.0,0.881664625,0.0
20200225-f-267,I0047753,"",9.9905764256,0.0,0.0,0.0,0.0,0.1273064608,0.2924419249,0.7190585656,0.00652967596,0.0684443562,0.0
20200225-t-268,I0047822,"",15.1673389056,0.2461816727,0.0,0.0,0.0,0.1361171856,0.2921702594,0.718970188,0.2559793576,0.091868187,0.0
20200225-f-268,I0047557,"",6.8231672512,0.0,0.0,0.0,0.0,0.1279343184,0.2925220432,0.7196730661,0.0,0.044819660199999995393,0.0
20200225-BL-BL,I0047847,"",22.3596017504,0.3151649064,0.0,0.0,0.0,0.1281360976,0.2924189024,0.7198963116,0.0,0.045778376900000004607,0.0

Technical Replicate Summary
Sample,Barcode,Transfer_Sample,Glucose(g/L),Xylose(g/L),Pyruvate(g/L),Xylitol(g/L),Succinate(g/L),Lactate(g/L),Glycerol(g/L),Formate(g/L),Acetate(g/L),Ethanol(g/L),Cellobiose(g/L)
20200225-t-258,I0047526,T0057604,21.5037642816,0.2797357277,0.0,0.0,0.0,0.1303655776,0.3227966307,0.7232109319,0.0,0.0693924768,0.0
20200225-f-258,I0047477,T0057605,22.3629617344,0.3034847924,0.0,0.0,0.0,0.1274469856,0.297027086,0.7197549995,0.0,0.0498887423,0.0
20200225-t-259,I0047917,T0057606,21.5287092352,0.0,0.0,0.0,0.0,0.132286984,0.2939282575,0.72202658,0.0,0.0454042885,0.0
20200225-f-259,I0047857,T0057607,21.1796059968,0.0,0.0,0.0,0.0,0.1342633392,0.2942874085,0.7218714589,0.0,0.0455581623,0.0
20200225-t-260,I0047664,T0057608,0.0,0.2057576689,0.0,0.0,0.0,0.1273343856,0.2921693385,0.7204781308,1.495983067,0.6557889434,0.0
20200225-f-260,I0047695,T0057609,0.1116415488,0.2112809516,0.0,0.0,0.0,0.1300178688,0.2941207256,0.7201770946,0.11080137996,0.053385916,0.0
20200225-t-261,I0047519,T0057610,16.7938828384000018016,0.2693227109,0.0,0.0,0.0,0.1277550592,0.3274748027,0.7194378528,0.0,0.0454176488,0.0
20200225-f-261,I0047538,T0057611,17.0937645632000018016,0.2493824443,0.0,0.0,0.0,0.1274055488,0.3250712537,0.7202060935,0.0,0.0462856076,0.0
20200225-t-262,I0047780,T0057612,11.6396277472,0.0,0.0,0.0,0.0,0.1273316832,0.3992644831,0.7192910171,0.0,0.045982006299999995393,0.0
20200225-f-262,I0047665,T0057613,20.268873776,0.0,0.0,0.0,0.0,0.127341592,0.3032376356,0.7190083929,0.0,0.0446998782,0.0
20200225-t-263,I0047596,T0057614,14.1438985888,0.3056661813,0.0,0.0,0.0,0.1300358848,0.2955324653,0.7235911397,0.14093153316,0.0459566678,0.0
20200225-f-263,I0047534,T0057615,11.4463989408,0.2825551691,0.0,0.0,0.0,0.128102768,0.2925505911,0.7192569549,0.0,0.044491181100000004607,0.0
20200225-t-264,I0047888,T0057616,16.1939049984,0.0,0.0,0.0,0.0,0.1284531792,0.4741354949,0.7273333787,0.390738431,0.40824147309999995393,0.0
20200225-f-264,I0047783,T0057617,18.1714564608,0.2615504808,0.0,0.0,0.0,0.1277541584,0.4572351381,0.720010466,0.44588788876,0.0503849162,0.0
20200225-t-265,I0047678,T0057618,15.4968893792,0.0,0.0,0.0,0.0,0.1273424928,0.2980548104,0.7207460254,0.0803854538,0.0521807248,0.0
20200225-f-265,I0047771,T0057619,9.5361048096,0.0,0.0,0.0,0.0,0.127467704,0.2925542747,0.7192072425,0.0,0.0480560777,0.0
20200225-t-266,I0047794,T0057620,2.1863208704,0.1985784523,0.0,0.0,0.0,0.1410643792,0.64119135940000009209,0.7243110489,0.6914081922,4.2003838765,0.0
20200225-f-266,I0047748,T0057621,9.4388094016,0.0,0.0,0.0,0.0,0.1314825696,0.3937685519,0.718914952,1.20682275272,0.0472102325,0.0
20200225-t-267,I0047797,T0057622,10.548944512,0.0,0.0,0.0,0.0,0.1273884336,0.2935810782,0.7196657013,0.0,0.881664625,0.0
