strain int	Species
1	Blastobotrys serpentis
2	Blastobotrys mokoenaii
3	Blastobotrys muscicola
4	Blastobotrys proliferans
5	Blastobotrys adeninivorans
6	Blastobotrys peoriensis
7	Blastobotrys raffinofermentans
8	Blastobotrys nivea, TS
9	Blastobotrys americana
10	Saccharomyces cerevisiae
11	Kluyveromyces lactis var. lactis
12	Kazachstania exigua
13	Naumovozyma castellii
14	Komagataella pastoris
15	Schwanniomyces vanrijiae var. vanrijiae
16	Magnusiomyces tetrasperma
17	Dipodascus geniculatus
18	Scheffersomyces lignosus
19	Metschnikowia matae var. matae
20	Yamadazyma nakazawae
21	Lipomyces arxii
22	Lipomyces doorenjongii
23	Lipomyces starkeyi, TS
24	Lipomyces suomiensis
25	Candida castellii
26	Lipomyces japonicus
27	Lipomyces kononenkoae
28	Lipomyces lipofer
29	Lipomyces mesembrius
30	Lipomyces oligophaga
31	Candida bracarensis
32	Candida glabrata
33	Candida nivariensis
34	Kluyveromyces aestuarii
35	Kluyveromyces dobzhanskii
36	Kluyveromyces marxianus, TS
37	Lachancea cidri
38	Lachancea fantastica nom. nud.
39	Lachancea fermentati
40	Lachancea kluyveri
41	Lachancea lanzarotensis
42	Eremothecium coryli
43	Eremothecium cymbalariae, TS
44	Eremothecium gossypii
45	Eremothecium sinecaudum
10-2	Saccharomyces cerevisiae
10-3	Saccharomyces cerevisiae
10-4	Saccharomyces cerevisiae
46	Lachancea meyersii
47	Lachancea mirantina
48	Lachancea nothofagi
49	Lachancea waltii
50	Geotrichum candidum
51	Lachancea dasiensis
52	Lachancea thermotolerans, TS
53	Ambrosiozyma oregonensis
54	Ambrosiozyma philentoma
55	Komagataella pseudopastoris
56	Nakazawaea holstii, TS
57	Candida arabinofermentans
58	Ambrosiozyma ambrosiae
59	Ambrosiozyma monospora, TS
60	Citeromyces hawaiiensis
61	Citeromyces matritensis
62	Citeromyces siamensis
63	Komagataella populi
64	Kuraishia capsulata, TS
65	Kuraishia molischiana
66	Kuraishia ogatae
67	Nakazawaea peltata
68	Candida boidinii
69	Candida succiphila
70	Ogataea glucozyma
71	Ogataea henricii
72	Ogataea kodamae
73	Ogataea methanolica
74	Ogataea methylivora
75	Ogataea minuta, TS
76	Ogataea naganishii
77	Ogataea nonfermentans
78	Ogataea parapolymorpha
79	Ogataea philodendra
80	Ogataea pilisensis
81	Ogataea pini
82	Ogataea ramenticola
83	Ogataea trehaloabstinens
84	Ogataea trehalophila
85	Ogataea zsoltii
86	Peterozyma toletana, TS
87	Peterozyma xylosa
88	Nakaseomyces delphensis, TS
89	Naumovozyma dairenensis, TS
90	Tetrapisispora fleetii
91	Tetrapisispora iriomotensis
92	Tetrapisispora namnaonensis
93	Torulaspora franciscae
94	Torulaspora pretoriensis
95	Zygosaccharomyces bailii
96	Zygosaccharomyces bisporus
97	Zygosaccharomyces kombuchaensis
98	Zygosaccharomyces rouxii, TS
99	Zygotorulaspora florentina
100	Zygotorulaspora mrakii, TS
101	Tetrapisispora blattae
102	Vanderwaltozyma polyspora, TS
103	Ambrosiozyma vanderkliftii
104	Babjeviella inositovora, TS
105	Barnettozyma californica
106	Barnettozyma hawaiiensis
107	Teunomyces kruisii, TS (previously known as Candida kruisii)
108	Ambrosiozyma kashinagacola
109	Ambrosiozyma maleeae
110	Ambrosiozyma pseudovanderkliftii
111	Barnettozyma populi, TS
112	Barnettozyma pratensis
113	Barnettozyma salicaria
114	Candida montana
115	Candida cretensis
116	Candida gatunensis
117	Candida canberraensis
118	Candida emberorum
119	Candida pyralidae
120	Suhomyces tanzawaensis, TS (previously known as Candida tanzawaensis)
121	Lodderomyces elongisporus, TS
122	Candida corydali
123	Candida dubliniensis
124	Candida parapsilosis
125	Candida sojae
126	Candida tropicalis, TS
127	Cephaloascus albidus
128	Cephaloascus fragrans, TS
129	Candida fructus
130	Candida intermedia
131	Candida oregonensis
132	Cyberlindnera misumaiensis
133	Cyberlindnera mrakii
134	Candida freyschussii
135	Danielozyma ontarioensis, TS
136	Deakozyma indianensis
137	Dekkera bruxellensis, TS
138	Brettanomyces custersianus
139	Saccharomyces mikatae
140	Hanseniaspora clermontiae
141	Hanseniaspora osmophila
142	Hanseniaspora uvarum
143	Hanseniaspora valbyensis, TS
144	Hanseniaspora vineae
145	Candida albicans
146	Dekkera anomala
147	Candida orthopsilosis
148	Candida heveicola
149	Cyberlindnera americana
150	Cyberlindnera saturnus
151	Cyberlindnera suaveolens
152	Cyberlindnera xylosilytica
153	Groenewaldozyma salmanticensis, TS (previously known as Candida salmanticensis
154	Kloeckera hatyaiensis
155	Cyberlindnera fabianii
156	Cyberlindnera maclurae
157	Candida mycetangii
158	Candida vartiovaarae
159	Hanseniaspora pseudoguilliermondii
160	Hanseniaspora singularis
161	Hyphopichia burtonii, TS
162	Candida gotoi
163	Candida rhagii
164	Kodamaea ohmeri, TS
165	Kregervanrija fluxuum,TS
166	Kregervanrija delftensis
167	Meyerozyma caribbica
168	Meyerozyma guilliermondii, TS
169	Middelhovenomyces tepae, TS
170	Nakaseomyces bacillisporus
171	Kurtzmaniella cleridarum, TS
172	Pachysolen tannophilus, TS
173	Phaffomyces opuntiae, TS
174	Phaffomyces antillensis
175	Phaffomyces thermotolerans
176	Candida orba
177	Pichia membranifaciens, TS
178	Priceomyces haplophilus, TS
179	Saturnispora dispora,TS
180	Starmera amethionina, TS
181	Tortispora ganteri, TS
182	Torulaspora delbrueckii, TS
183	Torulaspora maleeae
184	Torulaspora microellipsoides
185	Trigonopsis variabilis, TS
186	Wickerhamomyces canadensis,TS
187	Yamadazyma philogaea, TS
188	Yamadazyma scolyti
189	Yarrowia bubula
190	Yarrowia deformans
191	Yarrowia divulgata
192	Yarrowia keelungensis
193	Yarrowia lipolytica, TS
194	Candida hispaniensis
195	Yueomyces sinensis, TS
196	Candida carpophila
197	Starmerella bombicola, TS
198	Wickerhamiella domercqiae, TS
199	Clavispora lusitaniae, TS
200	Debaryomyces hansenii, TS
201	Diddensiella caesifluorescens, TS
202	Dipodascus albidus, TS
203	Wickerhamiella cacticola
204	Martiniozyma abiesophila, TS
205	Candida athensensis
206	Nadsonia fulvescens, TS
207	Ogataea nitratoaversa
208	Ogataea populiabae
209	Aciculoconidium aculeatum, TS
210	Botryozyma nematodophila, TS
211	Kodamaea laetipori
212	Candida restingae
213	Candida schatavii
214	Millerozyma acaciae
215	Pichia exigua
216	Pichia heedii
217	Pichia kudriavzevii
218	Pichia nakasei
219	Pichia norvegensis
220	Pichia occidentalis
221	Priceomyces medius
222	Saccharomycopsis capsularis, TS
223	Saturnispora hagleri
224	Saturnispora mendoncae
225	Saturnispora saitoi
226	Saturnispora serradocipensis
227	Saturnispora silvae
228	Saturnispora zaruensis
229	Scheffersomyces stipitis, TS
230	Spathaspora passalidarum, TS
231	Spencermartinsiella europaea, TS.
232	Sporopachydermia lactativora,TS.
233	Sporopachydermia quercuum
234	Starmera quercuum
235	Candida stellimalicola
236	Tetrapisispora phaffii, TS
237	Wickerhamia fluorescens, TS
238	Tortispora caseinolytica
239	Hyphopichia heimii
240	Candida fragi
241	Candida blattae
242	Cyberlindnera jadinii
243	Cyberlindnera petersonii
244	Candida homilentoma
245	Pichia terricola
246	Priceomyces castillae
247	Priceomyces carsonii
248	Tortispora starmeri
249	Trigonopsis vinaria
250	Candida azyma
251	Candida infanticola
252	Wickerhamomyces alni
253	Wickerhamomyces bovis
254	Wickerhamomyces ciferrii
255	Wickerhamomyces hampshirensis
256	Candida ponderosae
257	Candida incommunis
258	Zygoascus meyerae
259	Zygoascus ofunaensis
260	Wickerhamomyces anomalus
261	Candida tenuis
262	Debaryomyces maramus
263	Candida ascalaphidarum
264	Candida golubevii
265	Candida gorgasii
266	Candida hawaiiana
267	Candida tammaniensis
268	Candida wancherniae
269	Debaryomyces fabryi
270	Debaryomyces nepalensis
271	Debaryomyces prosopidis
272	Debaryomyces subglobosus
273	Ogataea polymorpha
274	Spathaspora arborariae
275	Ascoidea rubescens, TS
276	Alloascoidea hylecoeti, TS
277	Ascoidea asiatica
278	Candida apicola
279	Candida auris
280	Candida sorboxylosa
281	Sugiyamaella lignohabitans
282	Candida versatilis
283	Saccharomyces uvarum
284	Saccharomycopsis malanga
285	Kazachstania martiniae
286	Kazachstania unispora
287	Kazachstania turicensis
288	Kazachstania bromeliacearum
289	Kazachstania siamensis
290	Kazachstania taianensis
291	Kazachstania intestinalis
292	Kazachstania rosinii
293	Kazachstania transvaalensis
294	Kazachstania spencerorum
295	Kazachstania viticola, TS
296	Kazachstania solicola
297	Kazachstania kunashirensis
298	Kazachstania aerobia
299	Kazachstania yakushimaensis
300	Metschnikowia aberdeeniae
301	Metschnikowia arizonensis
302	Metschnikowia bowlesiae
303	Metschnikowia cerradonensis
304	Metschnikowia continentalis
305	Metschnikowia dekortorum
306	Metschnikowia drakensbergensis
307	Metschnikowia hamakuensis
308	Metschnikowia hawaiiensis
309	Metschnikowia hibisci
310	Metschnikowia ipomoeae
311	Metschnikowia kamakouana
312	Metschnikowia kipukae
313	Metschnikowia lochheadii
314	Metschnikowia matae var. maris
315	Metschnikowia mauinuiana
316	Metschnikowia santaceciliae
317	Metschnikowia shivogae
318	Metschnikowia similis
319	Metschnikowia borealis
320	Metschnikowia proteae
321	Nadsonia fulvescens var. elongata
322	Saprochaete clavata
323	Metschnikowia bicuspidata var. bicuspidata, TS
324	Spathaspora giroi
325	Spathaspora hagerdaliae
326	Spathaspora gorwiae
327	Asbhya aceri
328	Kazachstania africana
329	Kazachstania naganishii
330	Lachancea quebecensis
331	Saccharomyces arboricola
332	Saccharomyces eubayanus
333	Saccharomyces kudriavzevii
334	Saccharomyces paradoxus
